tunecache	1.1.0	1.1.0-e23cd7e4f-sm_86	cpu_arch=x86_64,gpu_arch=sm_86,cuda_version=12.2.140	# Last updated Fri May  9 21:48:22 2025

          volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	aux.x	aux.y	aux.z	aux.w	time	comment
         1x2x2x2	N4quda4blas7axpbyz_IfEE	GPU-offline,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,n_rhs=1	800	1	1	56	1	1	0	-1	-1	-1	-1	2.44649e-06	# 0.94 Gflop/s, 3.77 GB/s, tuning took 0.010231 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x2	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=1,Nyw=1,max_nyw_tile=8	128	1	1	1	1	1	0	-1	-1	-1	-1	6.99733e-06	# 0.44 Gflop/s, 0.88 GB/s, tuning took 0.006579 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x2	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=1,Nyw=1,max_nyw_tile=8,norm	128	1	1	1	1	1	0	-1	-1	-1	-1	7.03235e-06	# 0.44 Gflop/s, 0.87 GB/s, tuning took 0.025998 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x2	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=1,Nyw=2,max_nyw_tile=8	128	1	1	1	1	2	0	-1	-1	-1	-1	7.14558e-06	# 0.86 Gflop/s, 1.72 GB/s, tuning took 0.011341 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x2	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=2,Nyw=1,max_nyw_tile=8	64	1	1	1	1	1	0	-1	-1	-1	-1	8.06676e-06	# 0.76 Gflop/s, 1.14 GB/s, tuning took 0.006889 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x2	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=2,Nyw=2,max_nyw_tile=8	64	1	1	1	1	2	0	-1	-1	-1	-1	8.22122e-06	# 1.49 Gflop/s, 2.24 GB/s, tuning took 0.012094 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x2	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=2,Nyw=2,max_nyw_tile=8,norm	64	1	1	1	1	2	0	-1	-1	-1	-1	8.10152e-06	# 1.52 Gflop/s, 2.28 GB/s, tuning took 0.012049 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x2	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=2,Nyw=4,max_nyw_tile=8	64	1	1	1	1	4	0	-1	-1	-1	-1	8.20613e-06	# 2.99 Gflop/s, 4.49 GB/s, tuning took 0.012633 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x2	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=3,Nyw=4,max_nyw_tile=8	64	1	1	1	1	4	0	-1	-1	-1	-1	9.23588e-06	# 3.99 Gflop/s, 5.32 GB/s, tuning took 0.013121 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x2	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=4,Nyw=2,max_nyw_tile=8	64	1	1	1	1	2	0	-1	-1	-1	-1	1.01631e-05	# 2.42 Gflop/s, 3.02 GB/s, tuning took 0.013913 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x2	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=4,Nyw=3,max_nyw_tile=8	64	1	1	1	1	3	0	-1	-1	-1	-1	1.02291e-05	# 3.60 Gflop/s, 4.50 GB/s, tuning took 0.013669 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x2	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=4,Nyw=5,max_nyw_tile=8	64	1	1	1	1	5	0	-1	-1	-1	-1	1.03244e-05	# 5.95 Gflop/s, 7.44 GB/s, tuning took 0.014327 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x8	N4quda10CopySpinorIffLi2ELi24ENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi1EL16QudaFieldOrder_s2EffLb0ELb0EEES4_EE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24	480	2	1	1	1	24	0	-1	-1	-1	-1	1.82991e-06	# 0.00 Gflop/s, 13.43 GB/s, tuning took 0.011330 seconds at Wed Apr  2 17:24:43 2025
         1x2x2x8	N4quda12DslashCoarseIfssLi2ELi24ELb0ELb1ELb0ELNS_10DslashTypeE2EEE	policy_kernel,GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,comm=0000,full,halo=00000000,n_rhs=1	32	1	8	4	1	6	12289	4	1	1	1	2.62596e-06	# 223.44 Gflop/s, 121.67 GB/s, tuning took 0.080552 seconds at Wed Apr  2 17:24:43 2025
         1x2x2x8	N4quda12DslashCoarseIfssLi2ELi24ELb1ELb0ELb0ELNS_10DslashTypeE2EEE	policy_kernel,GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,comm=0000,full,halo=00000000,n_rhs=1	64	1	8	1	1	48	4096	2	4	1	1	7.65086e-06	# 616.34 Gflop/s, 322.82 GB/s, tuning took 0.058429 seconds at Wed Apr  2 17:24:43 2025
         1x2x2x8	N4quda12DslashCoarseIfssLi2ELi24ELb1ELb0ELb1ELNS_10DslashTypeE2EEE	policy_kernel,GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,comm=0000,full,halo=00000000,n_rhs=1	64	1	8	1	1	48	4096	2	4	1	1	7.60924e-06	# 619.71 Gflop/s, 324.59 GB/s, tuning took 0.110807 seconds at Wed Apr  2 17:24:43 2025
         1x2x2x8	N4quda22DslashCoarsePolicyTuneINS_18DslashCoarseLaunchINS_1DELb0ELi24ELb0ELi1EEEEE	policy,clover,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,gauge_prec=2,halo_prec=2,comm=0000,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=11110000000,full,n_rhs=1	32	1	1	1	1	1	0	3	0	0	0	2.94286e-06	# 199.38 Gflop/s, 108.56 GB/s, tuning took 0.003457 seconds at Wed Apr  2 17:24:43 2025
         1x2x2x8	N4quda22DslashCoarsePolicyTuneINS_18DslashCoarseLaunchINS_1DELb0ELi24ELb0ELi1EEEEE	policy,dslash,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,gauge_prec=2,halo_prec=2,comm=0000,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=11110000000,full,n_rhs=1	32	1	1	1	1	1	0	3	0	0	0	7.61756e-06	# 619.03 Gflop/s, 324.24 GB/s, tuning took 0.003989 seconds at Wed Apr  2 17:24:43 2025
         1x2x2x8	N4quda22DslashCoarsePolicyTuneINS_18DslashCoarseLaunchINS_1DELb1ELi24ELb0ELi1EEEEE	policy,dslash,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,gauge_prec=2,halo_prec=2,comm=0000,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=11110000000,full,n_rhs=1	32	1	1	1	1	1	0	0	0	0	0	7.59259e-06	# 621.07 Gflop/s, 325.30 GB/s, tuning took 0.003971 seconds at Wed Apr  2 17:24:43 2025
         1x2x2x8	N4quda4blas10CdotNormABIdfEE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,n_rhs=1	128	1	1	1	1	1	0	-1	-1	-1	-1	1.23536e-05	# 1.99 Gflop/s, 1.99 GB/s, tuning took 0.007117 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x8	N4quda4blas10caxpyNorm2IdfEE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,n_rhs=1	256	1	1	1	1	1	0	-1	-1	-1	-1	8.35368e-06	# 2.94 Gflop/s, 4.41 GB/s, tuning took 0.006872 seconds at Wed Apr  2 17:24:43 2025
         1x2x2x8	N4quda4blas10multiaxpy_IfEE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=1,Nyw=1	448	1	1	56	1	1	0	1	0	0	0	4.64558e-06	# 1.32 Gflop/s, 7.94 GB/s, tuning took 0.011067 seconds at Wed Apr  2 17:24:43 2025
         1x2x2x8	N4quda4blas11axpbyzNorm2IdfEE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,n_rhs=1	256	1	1	1	1	1	0	-1	-1	-1	-1	8.41656e-06	# 1.46 Gflop/s, 4.38 GB/s, tuning took 0.007005 seconds at Wed Apr  2 17:24:43 2025
         1x2x2x8	N4quda4blas11multicaxpy_IfEE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=1,Nyw=1	160	1	1	56	1	1	0	1	0	0	0	4.65502e-06	# 2.64 Gflop/s, 7.92 GB/s, tuning took 0.010055 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x8	N4quda4blas11multicaxpy_IfEE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=8,Nyw=1	416	1	1	56	1	1	0	1	0	0	0	4.66612e-06	# 21.07 Gflop/s, 26.33 GB/s, tuning took 0.010115 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x8	N4quda4blas12MaxDeviationIdfEE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,n_rhs=1	256	1	1	1	1	1	0	-1	-1	-1	-1	9.1429e-06	# 0.00 Gflop/s, 2.69 GB/s, tuning took 0.007092 seconds at Wed Apr  2 17:24:49 2025
         1x2x2x8	N4quda4blas12TileSizeTuneINS0_9multiCdotES2_St7complexIdERKNS_10vector_refIKNS_16ColorSpinorFieldEEESA_SA_SA_EE	nested_policy,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,n=8,m=9,multi-blas-n=4,max_nyw_tile=8	32	1	1	1	1	1	0	8	9	0	0	3.33707e-05	# 0.00 Gflop/s, 0.00 GB/s, tuning took 0.042423 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x8	N4quda4blas12TileSizeTuneINS0_9multiCdotES2_St7complexIdERKNS_10vector_refIKNS_16ColorSpinorFieldEEESA_SA_SA_EE	nested_policy,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,n=9,m=8,multi-blas-n=4,max_nyw_tile=8	32	1	1	1	1	1	0	8	8	0	0	5.17928e-05	# 0.00 Gflop/s, 0.00 GB/s, tuning took 0.026880 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x8	N4quda4blas13TransposeTuneINS0_9multiCdotES2_St7complexIdERKNS_10vector_refIKNS_16ColorSpinorFieldEEESA_EE	policy,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,n=8,m=9,multi-blas-n=4,max_nyw_tile=8	32	1	1	1	1	1	0	0	0	0	0	3.45059e-05	# 0.00 Gflop/s, 0.00 GB/s, tuning took 0.002916 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x8	N4quda4blas13cabxpyzaxnormIdfEE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,n_rhs=1	256	1	1	1	1	1	0	-1	-1	-1	-1	8.31666e-06	# 3.69 Gflop/s, 5.91 GB/s, tuning took 0.007024 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x8	N4quda4blas15tripleCGUpdate_IfEE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,n_rhs=1	256	1	1	56	1	1	0	-1	-1	-1	-1	2.41203e-06	# 7.64 Gflop/s, 35.66 GB/s, tuning took 0.010120 seconds at Wed Apr  2 17:24:43 2025
         1x2x2x8	N4quda4blas18tripleCGReduction_IdfEE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,n_rhs=1	128	1	1	1	1	1	0	-1	-1	-1	-1	1.22993e-05	# 1.50 Gflop/s, 3.00 GB/s, tuning took 0.007152 seconds at Wed Apr  2 17:24:43 2025
         1x2x2x8	N4quda4blas4CdotIdfEE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,n_rhs=1	128	1	1	1	1	1	0	-1	-1	-1	-1	1.01311e-05	# 1.21 Gflop/s, 2.43 GB/s, tuning took 0.006865 seconds at Wed Apr  2 17:24:43 2025
         1x2x2x8	N4quda4blas5Norm2IdfEE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,n_rhs=1	256	1	1	1	1	1	0	-1	-1	-1	-1	7.98648e-06	# 0.77 Gflop/s, 1.54 GB/s, tuning took 0.006701 seconds at Wed Apr  2 17:24:43 2025
         1x2x2x8	N4quda4blas6caxpy_IfEE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,n_rhs=1	1024	1	1	56	1	1	0	-1	-1	-1	-1	2.38322e-06	# 5.16 Gflop/s, 15.47 GB/s, tuning took 0.010005 seconds at Wed Apr  2 17:24:43 2025
         1x2x2x8	N4quda4blas7axpbyz_IfEE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=24,n_rhs=1	320	1	1	56	1	1	0	-1	-1	-1	-1	2.5113e-06	# 3.67 Gflop/s, 14.68 GB/s, tuning took 0.010436 seconds at Wed Apr  2 17:24:43 2025
